Da'Vine Joy Randolph
Stephen Rea
Robert Redford
Vanessa Redgrave
Eddie Redmayne
John C. Reilly
Jeremy Renner
Miranda Richardson
Andrea Riseborough
Margot Robbie
Tim Robbins
Eric Roberts
Julia Roberts
Sam Rockwell
Saoirse Ronan
Diana Ross
Katharine Ross
Isabella Rossellini
Tim Roth
Mickey Rourke
Mercedes Ruehl
Mark Ruffalo
Geoffrey Rush
Amy Ryan
Winona Ryder
Mark Rylance
Eva Marie Saint
Zoe Saldaña
Catalina Sandino Moreno
Chris Sarandon
Susan Sarandon
Diana Scarwid
Kristin Scott Thomas
Chloë Sevigny
Amanda Seyfried
Michael Shannon
Talia Shire
Elisabeth Shue
Gabourey Sidibe
J. K. Simmons
Gary Sinise
Kodi Smit-McPhee
Will Smith
Mira Sorvino
Sissy Spacek
Kevin Spacey
Octavia Spencer
June Squibb
Sylvester Stallone
Terence Stamp
Sebastian Stan
Lakeith Stanfield
Imelda Staunton
Mary Steenburgen
Hailee Steinfeld
Kristen Stewart
Emma Stone
Sharon Stone
David Strathairn
Meryl Streep
Barbra Streisand
Jeremy Strong
Janet Suzman
Hilary Swank
Tilda Swinton
Russ Tamblyn
Charlize Theron
Emma Thompson
Billy Bob Thornton
Uma Thurman
Jennifer Tilly
Meg Tilly
Marisa Tomei
Lily Tomlin
Fernanda Torres
John Travolta
Stanley Tucci
Kathleen Turner
Liv Ullmann
Brenda Vaccaro
Alicia Vikander
Jon Voight
Mark Wahlberg
Christopher Walken
Quvenzhané Wallis
Julie Walters
Christoph Waltz
Lesley Ann Warren
Denzel Washington
Ken Watanabe
Sam Waterston
Emily Watson
Naomi Watts
Jacki Weaver
Sigourney Weaver
Rachel Weisz
Tuesday Weld
Forest Whitaker
Dianne Wiest
Michelle Williams
Oprah Winfrey
Debra Winger
Mare Winningham
Kate Winslet
Reese Witherspoon
Alfre Woodard
James Woods
Joanne Woodward
Jeffrey Wright
Michelle Yeoh
Steven Yeun
Youn Yuh-jung
Renée Zellweger
Catherine Zeta-Jones
